subject,item,condition,group,frequency_z,length,trial,RT,accuracy,neighbourhood,neighbourhood_z
S01,W001,unrelated,control,-0.9139392237197596,6,82,431,1,8,-1.328407986973267
S01,W002,related,control,0.1358238092024783,6,6,456,1,15,0.9866598741419697
S01,W003,unrelated,control,0.0968317689390009,5,118,477,1,13,0.3252119138233306
S01,W004,related,control,-1.3047661789528002,8,26,576,1,8,-1.328407986973267
S01,W005,unrelated,control,0.4824205120703297,7,107,436,1,15,0.9866598741419697
S01,W006,related,control,1.5453446713553585,5,34,651,1,18,1.9788318146199282
S01,W007,unrelated,control,-0.6150774716989514,7,48,723,1,8,-1.328407986973267
S01,W008,related,control,0.7371741115453434,5,116,683,0,14,0.6559358939826502
S01,W009,unrelated,control,0.4367971257492582,5,10,359,1,16,1.3173838543012892
S01,W010,related,control,0.5628372917200654,4,50,322,1,15,0.9866598741419697
S01,W011,unrelated,control,0.0928637611052042,5,16,451,1,16,1.3173838543012892
S01,W012,related,control,-1.017174296547943,7,100,671,1,5,-2.3205799274512255
S01,W013,unrelated,control,-0.1757199187168372,5,17,565,1,13,0.3252119138233306
S01,W014,related,control,-0.4670875917863192,7,56,548,1,10,-0.666960026654628
S01,W015,unrelated,control,0.6376366034140181,4,108,590,1,13,0.3252119138233306
S01,W016,related,control,0.4758777000006875,6,73,427,1,15,0.9866598741419697
S01,W017,unrelated,control,-1.1004086247447586,7,28,711,1,10,-0.666960026654628
S01,W018,related,control,-0.0732480440826994,5,19,503,1,11,-0.33623604649530847
S01,W019,unrelated,control,0.8377763169382735,5,18,760,1,17,1.6481078344606088
S01,W020,related,control,-0.10953246691453,6,1,319,1,13,0.3252119138233306
S01,W021,unrelated,control,0.1653741913649934,6,94,555,1,11,-0.33623604649530847
S01,W022,related,control,-1.5613246312784643,7,71,754,1,7,-1.6591319671325866
S01,W023,unrelated,control,1.5516882128257177,4,37,467,1,18,1.9788318146199282
S01,W024,related,control,0.6676736601563552,6,92,631,1,15,0.9866598741419697
S01,W025,unrelated,control,-1.1003524346233824,6,39,673,1,9,-0.9976840068139475
S01,W026,related,control,1.2547311434192785,5,99,588,1,15,0.9866598741419697
S01,W027,unrelated,control,0.2511535240099482,6,8,570,1,11,-0.33623604649530847
S01,W028,related,control,-0.4744448584528069,6,47,500,1,10,-0.666960026654628
S01,W029,unrelated,control,-0.034955592045138,6,74,538,1,11,-0.33623604649530847
S01,W030,related,control,-1.2168271291729122,6,81,471,1,9,-0.9976840068139475
S01,W031,unrelated,control,0.714619446660419,5,68,602,1,14,0.6559358939826502
S01,W032,related,control,-1.3165830605078477,6,61,640,1,10,-0.666960026654628
S01,W033,unrelated,control,-0.21523491523936,7,44,398,1,12,-0.005512066335988933
S01,W034,related,control,-0.8773992307693209,5,111,463,1,10,-0.666960026654628
S01,W035,unrelated,control,-0.5296422482991268,8,35,621,1,11,-0.33623604649530847
S01,W036,related,control,-0.1884520533183292,7,53,382,1,13,0.3252119138233306
S01,W037,unrelated,control,-1.1890454200315383,10,75,637,1,9,-0.9976840068139475
S01,W038,related,control,0.956289262928874,5,103,489,1,16,1.3173838543012892
S01,W039,unrelated,control,-1.409803501846958,9,3,505,1,9,-0.9976840068139475
S01,W040,related,control,0.0326171911239126,7,114,544,0,14,0.6559358939826502
S01,W041,unrelated,control,2.768124509357714,4,98,307,1,19,2.3095557947792478
S01,W042,related,control,-2.051321246725728,8,112,658,1,7,-1.6591319671325866
S01,W043,unrelated,control,-0.4642735130186097,7,27,533,1,12,-0.005512066335988933
S01,W044,related,control,-0.074692481078299,5,104,538,1,11,-0.33623604649530847
S01,W045,unrelated,control,-2.8603180515178988,8,33,616,0,2,-3.312751867929184
S01,W046,related,control,0.2765126725847232,6,25,541,0,13,0.3252119138233306
S01,W047,unrelated,control,0.0194756794538221,6,93,575,1,11,-0.33623604649530847
S01,W048,related,control,0.9901168140194688,6,120,462,1,13,0.3252119138233306
S01,W049,unrelated,control,1.4263582067643383,5,113,389,1,18,1.9788318146199282
S01,W050,related,control,0.2830487228263371,5,12,403,1,16,1.3173838543012892
S01,W051,unrelated,control,0.2912642538060146,5,60,498,1,11,-0.33623604649530847
S01,W052,related,control,0.2221144455622858,6,42,575,1,14,0.6559358939826502
S01,W053,unrelated,control,1.5099166560295276,5,119,424,1,13,0.3252119138233306
S01,W054,related,control,-0.4557117009268119,7,51,584,1,10,-0.666960026654628
S01,W055,unrelated,control,-0.8565905568902926,6,117,813,1,11,-0.33623604649530847
S01,W056,related,control,-1.5572563778362285,6,70,658,1,8,-1.328407986973267
S01,W057,unrelated,control,-0.9059093384605884,8,76,568,1,9,-0.9976840068139475
S01,W058,related,control,-1.6486942190789142,6,83,424,1,9,-0.9976840068139475
S01,W059,unrelated,control,-0.3001634484294758,6,32,440,1,12,-0.005512066335988933
S01,W060,related,control,-0.4724816193194414,5,90,420,1,12,-0.005512066335988933
S01,W061,unrelated,control,1.7395844656453046,5,62,493,1,19,2.3095557947792478
S01,W062,related,control,1.148113333746188,7,40,462,1,15,0.9866598741419697
S01,W063,unrelated,control,0.0350906934612753,6,96,503,1,15,0.9866598741419697
S01,W064,related,control,1.1068512013196057,4,106,425,0,14,0.6559358939826502
S01,W065,unrelated,control,-0.29377833954959,5,55,331,1,11,-0.33623604649530847
S01,W066,related,control,-0.8621267483079921,6,38,461,1,11,-0.33623604649530847
S01,W067,unrelated,control,-0.8004905870752745,5,97,600,1,9,-0.9976840068139475
S01,W068,related,control,-0.6822716459168946,6,4,444,1,11,-0.33623604649530847
S01,W069,unrelated,control,-2.306145484861042,8,84,766,1,6,-1.9898559472919062
S01,W070,related,control,-0.4692453518743268,6,45,509,1,10,-0.666960026654628
S01,W071,unrelated,control,-0.7186668647491127,7,58,532,1,13,0.3252119138233306
S01,W072,related,control,-1.8666945779672184,6,23,808,1,8,-1.328407986973267
S01,W073,unrelated,control,0.891632901440497,6,88,481,1,15,0.9866598741419697
S01,W074,related,control,0.0035851005184451,7,59,526,1,13,0.3252119138233306
S01,W075,unrelated,control,-0.8296935917886239,8,24,554,1,11,-0.33623604649530847
S01,W076,related,control,0.0063453267125901,6,80,539,1,11,-0.33623604649530847
